customer_id,tenure_months,gender,sessions_last_30d,avg_session_duration_min,items_in_wishlist,items_in_cart,days_since_last_purchase,total_purchases,total_spend_eur,returns_last_90d,used_promo_code,app_user,newsletter_subscriber,churn
9429e3ad-421f-4c41-a055-a8b4213d0d05,14,Male,7,1.0,14,1,164,27,1171.31,3,0,1,1,1
2718487f-c0d8-48a0-8bc7-bdcf89ab8e30,1,Female,37,21.76,13,0,113,1,119.7,0,1,1,1,0
d990eb2a-b299-49b9-a7ef-759716686848,30,Female,2,1.0,22,4,144,34,1332.85,4,1,0,1,1
e3527fa1-2bf4-4e97-b284-2b659b569f6c,24,Female,26,5.99,25,2,31,18,703.38,0,0,1,1,0
481bb23d-7913-43dc-91ba-b52636bf6f40,11,Female,38,25.09,16,2,89,14,1473.33,1,0,1,1,0
d47a5091-813f-42c2-b7f2-a2a4b9c42de2,38,Male,37,9.6,27,0,146,22,1943.07,0,0,1,1,0
64254612-a926-4f9d-97cb-57f652e138e4,11,Female,17,9.31,3,0,119,6,317.33,0,0,1,0,0
b10eca3c-5ec0-4de9-85e7-0dd77a61fddf,13,Female,0,1.66,5,0,177,25,1520.83,0,0,1,0,1
6345f3dc-00ac-437b-abb0-b724305e9aa9,11,Female,16,5.07,13,2,24,6,455.27,0,1,1,1,0
9a99ac67-2395-432f-a8bf-779802b26174,17,Female,22,5.7,15,1,66,20,1226.06,2,0,1,1,0
e52d368c-d8fe-479a-8505-0e4dac6a98d9,42,Female,36,26.17,37,1,59,45,1894.71,0,1,1,1,0
1e8ceae7-7cee-410b-8831-290721bb8a06,44,Female,6,3.25,32,6,292,60,6750.88,6,1,0,0,1
0f001469-55d7-415a-832e-f7cda86b73f9,13,Female,22,4.8,6,0,49,16,1267.3,1,1,0,1,0
50302061-3c0d-4975-96fb-1f179d7f3374,5,Female,6,1.7,0,0,36,4,349.48,0,0,1,0,0
994290aa-99d6-4578-812c-26da37aa3f42,17,Female,20,11.39,11,2,69,26,1490.34,0,1,1,0,0
24c4f71f-2475-4f54-8d9e-0f95d9b954bb,37,Female,21,11.63,26,3,119,71,7823.9,3,0,0,1,0
0aa18b24-4c70-457b-8dcd-850d218201e1,30,Female,1,1.0,17,0,86,46,2473.26,2,0,0,0,1
2a0eece3-3427-4781-a553-1840d60eb93b,36,Female,24,4.27,24,3,25,26,2732.42,1,0,1,1,0
c672c3b7-429d-4aac-919b-4f4814193933,9,Male,18,8.15,5,0,74,14,1673.23,1,0,1,0,0
8413b4b3-4949-4d64-8acb-6500cc23bc2f,30,Male,16,7.44,13,0,120,42,1886.24,4,1,1,1,0
3141b7de-c1bc-4b42-9e20-491c9dd7ed24,5,Female,36,10.3,4,0,175,7,404.18,0,1,1,1,0
783e86d2-53ad-4f8f-b1d9-a236a591b9e3,22,Female,3,3.4,17,0,76,14,1108.12,0,0,1,0,0
aacf1c48-222c-4453-8ce7-cefa2517ce71,33,Female,31,8.77,19,0,147,39,1186.76,1,0,0,1,0
832c1d41-50cf-40cd-9572-8f3d9757f48d,22,Male,35,13.1,14,2,44,21,2384.29,0,1,0,1,0
196c0719-a639-46ce-bf74-789847c98638,35,Female,15,9.52,17,2,63,20,2195.43,0,1,1,0,0
a2222621-ee08-4d5d-bf61-4c76e5d644ef,8,Female,14,5.23,7,0,34,15,1635.43,0,0,0,0,0
d0e357e8-8f4b-4be2-95ab-37a89b2bbbfb,38,Male,5,4.23,23,4,182,54,5281.04,1,1,0,1,1
8e0fa516-ef00-44fa-be4e-97ddab11ebdf,25,Male,6,1.0,15,0,47,45,2723.76,6,1,1,1,0
162c4fa7-1e53-4969-a963-e364e5764896,30,Male,6,7.13,20,3,149,22,1841.15,0,0,0,1,1
3fa670cf-edf2-4087-b397-7f390d32c9f4,23,Male,0,1.0,6,0,95,33,2088.91,4,1,0,1,1
d84fc7f5-1a0c-429a-82c4-02e4c2defc68,6,Female,7,4.35,2,0,37,4,443.02,0,0,0,0,0
76475973-e329-46bf-b572-175d605cecbc,5,Female,29,20.76,4,0,34,6,463.54,0,1,1,1,0
68ab4b07-e6a0-4ef2-8932-484d5d8e41ca,19,Male,1,2.39,13,2,138,32,2063.04,2,0,1,1,0
30970630-dd42-470b-8f0d-9dd35c6fc76f,33,Female,32,19.8,22,3,96,51,5998.33,7,0,0,1,0
9d30546a-51f6-4f9d-ad3f-c45c57cf990b,25,Male,3,1.0,19,3,161,35,3912.43,0,1,0,1,1
bb728cc4-a84f-47b5-8f24-5d2b2fe23496,6,Non-binary,19,18.43,10,0,126,11,1282.6,0,1,0,0,0
15925ec2-0727-4a3a-a7f1-e388f47cbe0e,13,Male,28,16.18,10,0,36,14,1341.38,0,1,1,1,0
f941389a-3ca6-4adf-a024-c5d1084f7e41,46,Female,9,6.3,30,3,311,59,2980.81,2,1,1,0,1
b2957183-9fb5-498f-8165-b6a33890e534,41,Female,8,7.92,29,5,235,23,981.64,1,1,1,0,1
5828d1a2-1f72-43d5-a85d-9acde33bf7d3,39,Male,28,19.84,31,2,90,33,2823.83,0,0,1,0,0
6199fb1d-c35e-4b39-beba-4b0c1ca77189,1,Male,6,5.26,2,0,30,1,58.5,0,0,1,0,0
700ef4b1-d035-41ef-b791-59032d75c5fa,40,Male,29,17.2,20,2,212,79,3344.51,1,0,1,0,0
56553765-bd1b-4990-82be-2149d4acabed,37,Female,33,15.75,25,2,94,19,1023.14,2,1,1,1,0
443acdd9-b1c4-4a23-9eb9-69da95c76e5d,38,Male,5,5.75,21,1,260,53,5643.79,1,1,0,1,1
228a80b1-9cba-4594-9fdd-f6fe9d4b3221,27,Male,32,19.71,23,1,55,45,3371.23,2,1,1,1,0
1d7a3eaa-a03c-4f35-8e78-690f3009b639,23,Male,20,10.71,18,0,91,37,2095.93,4,0,0,1,0
b0e84464-0910-41c8-a8ce-dc6dd4b6eee9,18,Female,38,29.41,18,3,167,32,2561.05,1,0,1,0,0
92782424-0a61-47e0-8cd4-c631701c1ecb,10,Female,2,1.0,11,0,55,17,1765.53,2,0,0,1,0
565cbd8f-e5eb-4929-a1d9-5d1506f2f7cb,7,Female,18,7.98,4,0,82,9,700.9,0,0,1,1,0
1ab97c97-d30f-40de-94a8-475ae3ad7e8c,47,Female,29,17.13,24,0,59,46,2464.5,0,1,1,1,0
e7c18d8d-470b-43d8-92db-45d84ea1174f,2,Female,18,14.99,1,0,146,3,249.52,0,1,1,1,0
